grupo_edad,nacionalidad,anio,poblacion
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2006,5.092
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2005,4.891
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2005,4.620
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2004,4.316
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2004,4.196
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2003,3.908
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2003,3.584
De 15 a 19 anios,De Centro America y Caribe,1 de julio de 2002,3.280
De 15 a 19 anios,De Centro America y Caribe,1 de enero de 2002,2.915
De 15 a 19 anios,De SudAmerica,1 de julio de 2022,27.535
De 15 a 19 anios,De SudAmerica,1 de enero de 2022,22.472
De 15 a 19 anios,De SudAmerica,1 de julio de 2021,21.616
De 15 a 19 anios,De SudAmerica,1 de enero de 2021,22.718
De 15 a 19 anios,De SudAmerica,1 de julio de 2020,23.706
De 15 a 19 anios,De SudAmerica,1 de enero de 2020,22.658
De 15 a 19 anios,De SudAmerica,1 de julio de 2019,21.401
De 15 a 19 anios,De SudAmerica,1 de enero de 2019,20.270
De 15 a 19 anios,De SudAmerica,1 de julio de 2018,19.680
De 15 a 19 anios,De SudAmerica,1 de enero de 2018,19.537
De 15 a 19 anios,De SudAmerica,1 de julio de 2017,19.378
De 15 a 19 anios,De SudAmerica,1 de enero de 2017,20.026
De 15 a 19 anios,De SudAmerica,1 de julio de 2016,20.980
De 15 a 19 anios,De SudAmerica,1 de enero de 2016,22.560
De 15 a 19 anios,De SudAmerica,1 de julio de 2015,24.201
De 15 a 19 anios,De SudAmerica,1 de enero de 2015,26.190
De 15 a 19 anios,De SudAmerica,1 de julio de 2014,28.607
De 15 a 19 anios,De SudAmerica,1 de enero de 2014,32.436
De 15 a 19 anios,De SudAmerica,1 de julio de 2013,36.385
De 15 a 19 anios,De SudAmerica,1 de enero de 2013,40.230
De 15 a 19 anios,De SudAmerica,1 de julio de 2012,41.869
De 15 a 19 anios,De SudAmerica,1 de enero de 2012,44.225
De 15 a 19 anios,De SudAmerica,1 de julio de 2011,45.327
De 15 a 19 anios,De SudAmerica,1 de enero de 2011,46.415
De 15 a 19 anios,De SudAmerica,1 de julio de 2010,47.775
De 15 a 19 anios,De SudAmerica,1 de enero de 2010,48.683
De 15 a 19 anios,De SudAmerica,1 de julio de 2009,49.932
De 15 a 19 anios,De SudAmerica,1 de enero de 2009,49.740
De 15 a 19 anios,De SudAmerica,1 de julio de 2008,49.174
De 15 a 19 anios,De SudAmerica,1 de enero de 2008,47.705
De 15 a 19 anios,De SudAmerica,1 de julio de 2007,46.172
De 15 a 19 anios,De SudAmerica,1 de enero de 2007,42.498
De 15 a 19 anios,De SudAmerica,1 de julio de 2006,40.227
De 15 a 19 anios,De SudAmerica,1 de enero de 2006,37.768
De 15 a 19 anios,De SudAmerica,1 de julio de 2005,36.682
De 15 a 19 anios,De SudAmerica,1 de enero de 2005,34.770
De 15 a 19 anios,De SudAmerica,1 de julio de 2004,33.484
De 15 a 19 anios,De SudAmerica,1 de enero de 2004,32.325
De 15 a 19 anios,De SudAmerica,1 de julio de 2003,30.701
De 15 a 19 anios,De SudAmerica,1 de enero de 2003,26.198
De 15 a 19 anios,De SudAmerica,1 de julio de 2002,23.239
De 15 a 19 anios,De SudAmerica,1 de enero de 2002,18.604
De 15 a 19 anios,De Asia,1 de julio de 2022,11.144
De 15 a 19 anios,De Asia,1 de enero de 2022,11.025
De 15 a 19 anios,De Asia,1 de julio de 2021,10.770
De 15 a 19 anios,De Asia,1 de enero de 2021,10.691
De 15 a 19 anios,De Asia,1 de julio de 2020,10.637
De 15 a 19 anios,De Asia,1 de enero de 2020,10.524
De 15 a 19 anios,De Asia,1 de julio de 2019,10.001
De 15 a 19 anios,De Asia,1 de enero de 2019,9.582
De 15 a 19 anios,De Asia,1 de julio de 2018,9.116
De 15 a 19 anios,De Asia,1 de enero de 2018,8.730
De 15 a 19 anios,De Asia,1 de julio de 2017,8.423
De 15 a 19 anios,De Asia,1 de enero de 2017,8.301
De 15 a 19 anios,De Asia,1 de julio de 2016,8.092
De 15 a 19 anios,De Asia,1 de enero de 2016,7.991
De 15 a 19 anios,De Asia,1 de julio de 2015,8.048
De 15 a 19 anios,De Asia,1 de enero de 2015,8.062
De 15 a 19 anios,De Asia,1 de julio de 2014,8.176
De 15 a 19 anios,De Asia,1 de enero de 2014,8.191
De 15 a 19 anios,De Asia,1 de julio de 2013,8.439
De 15 a 19 anios,De Asia,1 de enero de 2013,8.584
De 15 a 19 anios,De Asia,1 de julio de 2012,8.611
De 15 a 19 anios,De Asia,1 de enero de 2012,8.410
De 15 a 19 anios,De Asia,1 de julio de 2011,8.247
De 15 a 19 anios,De Asia,1 de enero de 2011,8.035
De 15 a 19 anios,De Asia,1 de julio de 2010,7.656
De 15 a 19 anios,De Asia,1 de enero de 2010,7.403
De 15 a 19 anios,De Asia,1 de julio de 2009,7.396
De 15 a 19 anios,De Asia,1 de enero de 2009,7.207
De 15 a 19 anios,De Asia,1 de julio de 2008,6.932
De 15 a 19 anios,De Asia,1 de enero de 2008,6.450
De 15 a 19 anios,De Asia,1 de julio de 2007,6.090
De 15 a 19 anios,De Asia,1 de enero de 2007,5.904
De 15 a 19 anios,De Asia,1 de julio de 2006,5.803
De 15 a 19 anios,De Asia,1 de enero de 2006,5.621
De 15 a 19 anios,De Asia,1 de julio de 2005,5.252
De 15 a 19 anios,De Asia,1 de enero de 2005,4.837
De 15 a 19 anios,De Asia,1 de julio de 2004,4.261
De 15 a 19 anios,De Asia,1 de enero de 2004,3.660
De 15 a 19 anios,De Asia,1 de julio de 2003,3.150
De 15 a 19 anios,De Asia,1 de enero de 2003,2.658
De 15 a 19 anios,De Asia,1 de julio de 2002,2.277
De 15 a 19 anios,De Asia,1 de enero de 2002,1.889
De 15 a 19 anios,De Oceania,1 de julio de 2022,89
De 15 a 19 anios,De Oceania,1 de enero de 2022,86
De 15 a 19 anios,De Oceania,1 de julio de 2021,87
De 15 a 19 anios,De Oceania,1 de enero de 2021,102
De 15 a 19 anios,De Oceania,1 de julio de 2020,105
De 15 a 19 anios,De Oceania,1 de enero de 2020,101
De 15 a 19 anios,De Oceania,1 de julio de 2019,94
De 15 a 19 anios,De Oceania,1 de enero de 2019,80
De 15 a 19 anios,De Oceania,1 de julio de 2018,72
De 15 a 19 anios,De Oceania,1 de enero de 2018,66
De 15 a 19 anios,De Oceania,1 de julio de 2017,68
De 15 a 19 anios,De Oceania,1 de enero de 2017,59
De 15 a 19 anios,De Oceania,1 de julio de 2016,57
De 15 a 19 anios,De Oceania,1 de enero de 2016,59
De 15 a 19 anios,De Oceania,1 de julio de 2015,58
De 15 a 19 anios,De Oceania,1 de enero de 2015,52
De 15 a 19 anios,De Oceania,1 de julio de 2014,48
De 15 a 19 anios,De Oceania,1 de enero de 2014,39
De 15 a 19 anios,De Oceania,1 de julio de 2013,40
De 15 a 19 anios,De Oceania,1 de enero de 2013,37
De 15 a 19 anios,De Oceania,1 de julio de 2012,35
De 15 a 19 anios,De Oceania,1 de enero de 2012,31
De 15 a 19 anios,De Oceania,1 de julio de 2011,28
De 15 a 19 anios,De Oceania,1 de enero de 2011,29
De 15 a 19 anios,De Oceania,1 de julio de 2010,34
